2015-01-27 23:01:44 [com.wakanda-software.StuFacJoint.StuFacJointWeb.console] INFO - {"data":[">>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/richText/css/widget-richText.css no change on TS : 2014-04-17T10:11:50.000Z"]}
2015-01-27 23:01:44 [com.wakanda-software.StuFacJoint.StuFacJointWeb] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/container/widget-container.js no change on TS : 2014-04-17T10:11:50.000Z
2015-01-27 23:01:44 [com.wakanda-software.StuFacJoint.StuFacJointWeb.console] INFO - {"data":[">>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/container/widget-container.js no change on TS : 2014-04-17T10:11:50.000Z"]}
2015-01-27 23:01:44 [com.wakanda-software.StuFacJoint.StuFacJointWeb] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/container/widget-container-conf.js no change on TS : 2014-04-17T10:11:50.000Z
2015-01-27 23:01:44 [com.wakanda-software.StuFacJoint.StuFacJointWeb.console] INFO - {"data":[">>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/container/widget-container-conf.js no change on TS : 2014-04-17T10:11:50.000Z"]}
2015-01-27 23:01:44 [com.wakanda-software.StuFacJoint.StuFacJointWeb] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/container/css/widget-container.css no change on TS : 2014-04-17T10:11:50.000Z
2015-01-27 23:01:44 [com.wakanda-software.StuFacJoint.StuFacJointWeb.console] INFO - {"data":[">>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/container/css/widget-container.css no change on TS : 2014-04-17T10:11:50.000Z"]}
2015-01-27 23:01:44 [com.wakanda-software.StuFacJoint.StuFacJointWeb] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/image/widget-image.js no change on TS : 2014-08-05T08:00:22.000Z
2015-01-27 23:01:44 [com.wakanda-software.StuFacJoint.StuFacJointWeb.console] INFO - {"data":[">>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/image/widget-image.js no change on TS : 2014-08-05T08:00:22.000Z"]}
2015-01-27 23:01:44 [com.wakanda-software.StuFacJoint.StuFacJointWeb] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/image/widget-image-conf.js no change on TS : 2014-06-12T12:00:20.000Z
